ID,X,Y,Z,PCI,RSRP(dBm)
31881465,801313.94,348516.8,1.5,2,-64.31245
31881466,801306.42,348528.57,1.5,2,-65.52801
31881467,801296.95,348538.88,1.5,2,-64.13834
31881468,801286.37,348548.06,1.5,2,-63.97823
31881469,801274.63,348555.74,1.5,2,-62.22151
31881470,801262.11,348562,1.5,2,-58.52781
31881471,801248.82,348566.41,1.5,2,-59.12828
31881472,801235.31,348570.1,1.5,2,-58.14557
31881473,801221.61,348573.07,1.5,2,-59.04534
31881474,801207.92,348576,1.5,2,-59.27622
31881475,801194.14,348578.44,1.5,2,-61.57979
31881476,801180.34,348580.84,1.5,2,-63.022
31881477,801166.59,348580.5,1.5,2,-55.68495
31881478,801154.92,348587.65,1.5,2,-48.95542
31881479,801141.35,348591.12,1.5,2,-51.1702
31881480,801127.86,348594.89,1.5,2,-50.77074
31881481,801114.14,348597.61,1.5,2,-57.59336
31881482,801100.34,348600.02,1.5,2,-58.67475
31881483,801086.64,348602.99,1.5,2,-58.5628
31881484,801073.14,348606.69,1.5,2,-57.71233
31881485,801059.67,348610.55,1.5,2,-58.75865
31881486,801046.9,348616.27,1.5,2,-61.46361
31881487,801034.03,348621.37,1.5,2,-61.27121
31881488,801020.31,348624.08,1.5,2,-59.91402
31881489,801006.73,348627.31,1.5,2,-63.74729
31881490,800992.86,348629.25,1.5,2,-66.3106
31881491,800978.93,348630.73,1.5,2,-69.5285
31881492,800965.05,348632.58,1.5,2,-74.9789
31881493,800951.37,348635.58,1.5,2,-73.46285
31881494,800937.64,348638.39,1.5,2,-74.85311
31881495,800923.88,348641.06,1.5,2,-70.55773
31881496,800910.26,348644.35,1.5,2,-68.78675
31881497,800896.38,348646.34,1.5,2,-70.29088
31881498,800882.4,348647.43,1.5,2,-69.81169
31881499,800868.39,348647.65,1.5,2,-70.3656
31881500,800854.6,348649.93,1.5,2,-73.79894
31881501,800841.48,348651.19,1.5,2,-83.63895
31881502,800832.14,348648.4,1.5,2,-76.30796
31881503,800818.86,348651.46,1.5,2,-76.45139
31881504,800813.21,348663.59,1.5,2,-81.96532
31881505,800813.99,348677.56,1.5,2,-86.55593
31881506,800816.22,348691.4,1.5,2,-86.84753
31881507,800818.76,348705.18,1.5,2,-87.90275
31881508,800820.81,348719.04,1.5,2,-87.29214
31881509,800823.38,348732.79,1.5,2,-86.05855
31881510,800824.38,348746.74,1.5,2,-84.58828
31881511,800826.51,348760.58,1.5,2,-82.16885
31881512,800830.03,348770.46,1.5,2,-83.02529
31881513,800834.71,348783.66,1.5,2,-83.94167
31881514,800838.52,348797.13,1.5,2,-86.96054
31881515,800844.13,348809.97,1.5,2,-89.03697
31881516,800849.45,348822.91,1.5,2,-89.59618
31881517,800855.36,348835.56,1.5,2,-90.35909
31881518,800860.22,348848.68,1.5,2,-89.38147
31881519,800866.24,348861.35,1.5,2,-88.79482
31881520,800872.22,348873.98,1.5,2,-87.11901
31881521,800877.52,348886.94,1.5,2,-92.03085
31881522,800882.65,348899.97,1.5,2,-95.32897
31881523,800888.66,348912.66,1.5,2,-94.32648
31881524,800895.87,348924.65,1.5,2,-94.97307
31881525,800904.43,348935.78,1.5,2,-95.72162
31881526,800913.37,348946.55,1.5,2,-96.82849
31881527,800921.11,348958.22,1.5,2,-95.67964
31881528,800929.53,348969.04,1.5,2,-99.26116
31881529,800937.86,348980.19,1.5,2,-96.73443
31881530,800944.37,348976.32,1.5,2,-95.96394
31881531,800934.77,348968.39,1.5,2,-98.00489
31881532,800927.67,348956.46,1.5,2,-98.33639
31881533,800920.74,348944.3,1.5,2,-95.55028
31881534,800913.58,348932.24,1.5,2,-96.48953
31881535,800906.16,348920.38,1.5,2,-94.63714
31881536,800898.98,348908.37,1.5,2,-93.94692
31881537,800893.46,348895.5,1.5,2,-92.64494
31881538,800889.09,348882.23,1.5,2,-90.39683
31881539,800881.66,348870.38,1.5,2,-87.92647
31881540,800875.47,348857.81,1.5,2,-89.20238
31881541,800868.58,348845.55,1.5,2,-89.99301
31881542,800861.92,348833.23,1.5,2,-89.94009
31881543,800856.14,348820.48,1.5,2,-86.13863
31881544,800850.94,348807.48,1.5,2,-85.15792
31881545,800846.53,348794.2,1.5,2,-85.54296
31881546,800843.17,348780.59,1.5,2,-84.85404
31881547,800839.29,348767.11,1.5,2,-84.45875
31881548,800837.3,348753.25,1.5,2,-86.74815
31881549,800836.22,348739.26,1.5,2,-88.54964
31881550,800833.49,348725.57,1.5,2,-88.20921
31881551,800830.93,348711.79,1.5,2,-88.59805
31881552,800827.41,348698.24,1.5,2,-87.71756
31881553,800823.85,348684.72,1.5,2,-81.49743
31881554,800825.43,348674.68,1.5,2,-79.71413
