[ID] [name of material]  [Thickness]   [Color: Red]  [Color: Green]  [Color: Blue]   [Frequency (in MHz)]  [Dielectrictity (relative)]   [Permeability (relative)]   [Conductivity (in S/m)]   [Transmission Loss (in dB)]   [Reflection Loss (in dB)] 
20  "Laminated Paper; thickness: 0.02 m." 192 192 192 900 3.89 1 0.005 1.07 9.7
20  "Laminated Paper; thickness: 0.02 m." 192 192 192 1800 3.89 1 0.01 1.15 9.7
20  "Laminated Paper; thickness: 0.02 m." 192 192 192 2000 3.89 1 0.011 1.17 9.7
20  "Laminated Paper; thickness: 0.02 m." 192 192 192 5000 3.89 1 0.028 1.44 9.7
21  "Laminated Paper; thickness: 0.05 m." 192 192 192 900 3.89 1 0.005 1.19 9.7
21  "Laminated Paper; thickness: 0.05 m." 192 192 192 1800 3.89 1 0.01 1.4 9.7
21  "Laminated Paper; thickness: 0.05 m." 192 192 192 2000 3.89 1 0.011 1.44 9.7
21  "Laminated Paper; thickness: 0.05 m." 192 192 192 5000 3.89 1 0.028 2.14 9.7
22  "Loam; thickness: 0.1 m." 150 78 29 900 2.5 1 0.002 0.61 12.95
22  "Loam; thickness: 0.1 m." 150 78 29 1800 2.5 1 0.003 0.76 12.95
22  "Loam; thickness: 0.1 m." 150 78 29 2000 2.5 1 0.003 0.8 12.95
22  "Loam; thickness: 0.1 m." 150 78 29 5000 2.5 1 0.008 1.32 12.95
23  "Loam; thickness: 0.2 m." 150 78 29 900 2.5 1 0.002 0.76 12.95
23  "Loam; thickness: 0.2 m." 150 78 29 1800 2.5 1 0.003 1.07 12.95
23  "Loam; thickness: 0.2 m." 150 78 29 2000 2.5 1 0.003 1.14 12.95
23  "Loam; thickness: 0.2 m." 150 78 29 5000 2.5 1 0.008 2.18 12.95
24  "Metal; thickness: 0.001 m." 128 128 0 900 1 20 5000 74.63 0.05
24  "Metal; thickness: 0.001 m." 128 128 0 1800 1 20 10000 111.25 0.05
24  "Metal; thickness: 0.001 m." 128 128 0 2000 1 20 11111 119.39 0.05
24  "Metal; thickness: 0.001 m." 128 128 0 5000 1 20 27778 241.48 0.05
25  "Metal; thickness: 0.005 m." 128 128 0 900 1 20 5000 221.13 0.05
25  "Metal; thickness: 0.005 m." 128 128 0 1800 1 20 10000 404.27 0.05
25  "Metal; thickness: 0.005 m." 128 128 0 2000 1 20 11111 444.97 0.05
25  "Metal; thickness: 0.005 m." 128 128 0 5000 1 20 27778 1055.42 0.05
26  "Oil; thickness: 0.002 m." 192 191 141 900 2.7 1 0.001 0.53 12.28
26  "Oil; thickness: 0.002 m." 192 191 141 1800 2.7 1 0.001 0.53 12.28
26  "Oil; thickness: 0.002 m." 192 191 141 2000 2.7 1 0.001 0.53 12.28
26  "Oil; thickness: 0.002 m." 192 191 141 5000 2.7 1 0 0.53 12.28
27  "Oil; thickness: 0.005 m." 192 191 141 900 2.7 1 0.001 0.53 12.28
27  "Oil; thickness: 0.005 m." 192 191 141 1800 2.7 1 0.001 0.53 12.28
27  "Oil; thickness: 0.005 m." 192 191 141 2000 2.7 1 0.001 0.53 12.28
27  "Oil; thickness: 0.005 m." 192 191 141 5000 2.7 1 0 0.53 12.28
28  "Paper; thickness: 0.02 m." 128 128 128 900 2.95 1 0.006 0.73 11.56
28  "Paper; thickness: 0.02 m." 128 128 128 1800 2.95 1 0.011 0.84 11.56
28  "Paper; thickness: 0.02 m." 128 128 128 2000 2.95 1 0.012 0.86 11.56
28  "Paper; thickness: 0.02 m." 128 128 128 5000 2.95 1 0.031 1.21 11.56
29  "Paper; thickness: 0.05 m." 128 128 128 900 2.95 1 0.006 0.89 11.56
29  "Paper; thickness: 0.05 m." 128 128 128 1800 2.95 1 0.011 1.15 11.56
29  "Paper; thickness: 0.05 m." 128 128 128 2000 2.95 1 0.012 1.21 11.56
29  "Paper; thickness: 0.05 m." 128 128 128 5000 2.95 1 0.031 2.08 11.56
30  "Plaster Board / Sheetrock; thickness: 0.01 m." 208 157 158 900 2.5 1 0.015 0.61 12.9
30  "Plaster Board / Sheetrock; thickness: 0.01 m." 208 157 158 1800 2.5 1 0.03 0.76 12.9
30  "Plaster Board / Sheetrock; thickness: 0.01 m." 208 157 158 2000 2.5 1 0.033 0.89 12.9
30  "Plaster Board / Sheetrock; thickness: 0.01 m." 208 157 158 3500 2.5 1 0.058 1.05 12.9
30  "Plaster Board / Sheetrock; thickness: 0.01 m." 208 157 158 5000 2.5 1 0.083 1.31 12.9
31  "Plaster Board / Sheetrock; thickness: 0.02 m." 208 157 158 900 2.5 1 0.015 0.76 12.9
31  "Plaster Board / Sheetrock; thickness: 0.02 m." 208 157 158 1800 2.5 1 0.03 1.07 12.9
31  "Plaster Board / Sheetrock; thickness: 0.02 m." 208 157 158 2000 2.5 1 0.033 1.14 12.9
31  "Plaster Board / Sheetrock; thickness: 0.02 m." 208 157 158 3500 2.5 1 0.059 1.66 12.9
31  "Plaster Board / Sheetrock; thickness: 0.02 m." 208 157 158 5000 2.5 1 0.083 2.18 12.9
32  "Plaster Board / Sheetrock; thickness: 0.03 m." 208 157 158 900 2.5 1 0.015 0.92 12.9
32  "Plaster Board / Sheetrock; thickness: 0.03 m." 208 157 158 1800 2.5 1 0.03 1.38 12.9
32  "Plaster Board / Sheetrock; thickness: 0.03 m." 208 157 158 2000 2.5 1 0.033 1.49 12.9
32  "Plaster Board / Sheetrock; thickness: 0.03 m." 208 157 158 5000 2.5 1 0.083 3.04 12.9
33  "Plaster Board / Sheetrock; thickness: 0.05 m." 208 157 158 900 2.5 1 0.015 1.23 12.9
33  "Plaster Board / Sheetrock; thickness: 0.05 m." 208 157 158 1800 2.5 1 0.03 2 12.9
33  "Plaster Board / Sheetrock; thickness: 0.05 m." 208 157 158 2000 2.5 1 0.033 2.18 12.9
33  "Plaster Board / Sheetrock; thickness: 0.05 m." 208 157 158 3500 2.5 1 0.059 3.47 12.9
33  "Plaster Board / Sheetrock; thickness: 0.05 m." 208 157 158 5000 2.5 1 0.083 4.76 12.9
34  "Plastic (Glass Fiber); thickness: 0.02 m." 44 137 154 900 5.2 1 0.012 1.6 8.17
34  "Plastic (Glass Fiber); thickness: 0.02 m." 44 137 154 1800 5.2 1 0.023 1.77 8.17
34  "Plastic (Glass Fiber); thickness: 0.02 m." 44 137 154 2000 5.2 1 0.026 1.8 8.17
34  "Plastic (Glass Fiber); thickness: 0.02 m." 44 137 154 5000 5.2 1 0.064 2.35 8.17
35  "Plaster; thickness: 0.1 m." 72 159 57 900 4 1 0.02 2.66 9.52
35  "Plaster; thickness: 0.1 m." 72 159 57 1800 4 1 0.04 4.3 9.52
35  "Plaster; thickness: 0.1 m." 72 159 57 2000 4 1 0.044 4.66 9.52
35  "Plaster; thickness: 0.1 m." 72 159 57 3500 4 1 0.078 7.39 9.52
35  "Plaster; thickness: 0.1 m." 72 159 57 5000 4 1 0.111 10.11 9.52
36  "Plaster; thickness: 0.2 m." 72 159 57 900 4 1 0.02 4.3 9.52
36  "Plaster; thickness: 0.2 m." 72 159 57 1800 4 1 0.04 7.57 9.52
36  "Plaster; thickness: 0.2 m." 72 159 57 2000 4 1 0.044 8.13 9.52
36  "Plaster; thickness: 0.2 m." 72 159 57 3500 4 1 0.078 13.75 9.52
36  "Plaster; thickness: 0.2 m." 72 159 57 5000 4 1 0.111 19.2 9.52
37  "Plaster; thickness: 0.05 m." 72 159 57 900 4 1 0.02 1.84 9.52
37  "Plaster; thickness: 0.05 m." 72 159 57 1800 4 1 0.04 2.66 9.52
37  "Plaster; thickness: 0.05 m." 72 159 57 2000 4 1 0.044 2.84 9.52
37  "Plaster; thickness: 0.05 m." 72 159 57 3500 4 1 0.078 4.21 9.52
37  "Plaster; thickness: 0.05 m." 72 159 57 5000 4 1 0.111 5.57 9.52
38  "Plastic (Bakelite); thickness: 0.02 m." 44 137 154 900 4.25 1 0.007 1.22 9.2
38  "Plastic (Bakelite); thickness: 0.02 m." 44 137 154 1800 4.25 1 0.013 1.32 9.2
38  "Plastic (Bakelite); thickness: 0.02 m." 44 137 154 2000 4.25 1 0.014 1.34 9.2
38  "Plastic (Bakelite); thickness: 0.02 m." 44 137 154 5000 4.25 1 0.036 1.69 9.2
39  "Plastic (Glass Fiber); thickness: 0.05 m." 44 137 154 900 5.2 1 0.012 1.85 8.17
39  "Plastic (Glass Fiber); thickness: 0.05 m." 44 137 154 1800 5.2 1 0.023 2.26 8.17
39  "Plastic (Glass Fiber); thickness: 0.05 m." 44 137 154 2000 5.2 1 0.026 2.35 8.17
39  "Plastic (Glass Fiber); thickness: 0.05 m." 44 137 154 5000 5.2 1 0.064 3.73 8.17
40  "Plastic (Perspex); thickness: 0.02 m." 44 137 154 900 2.73 1 0.002 0.58 12.18
40  "Plastic (Perspex); thickness: 0.02 m." 44 137 154 1800 2.73 1 0.004 0.62 12.18
40  "Plastic (Perspex); thickness: 0.02 m." 44 137 154 2000 2.73 1 0.004 0.63 12.18
40  "Plastic (Perspex); thickness: 0.02 m." 44 137 154 5000 2.73 1 0.011 0.76 12.18
41  "Plastic (Perspex); thickness: 0.05 m." 44 137 154 900 2.73 1 0.002 0.64 12.18
41  "Plastic (Perspex); thickness: 0.05 m." 44 137 154 1800 2.73 1 0.004 0.74 12.18
41  "Plastic (Perspex); thickness: 0.05 m." 44 137 154 2000 2.73 1 0.004 0.76 12.18
41  "Plastic (Perspex); thickness: 0.05 m." 44 137 154 5000 2.73 1 0.011 1.09 12.18
42  "Plastic (Polystyrene); thickness: 0.02 m." 44 137 154 900 2.55 1 0.075 1.09 12.18
42  "Plastic (Polystyrene); thickness: 0.02 m." 44 137 154 1800 2.55 1 0.149 3.43 11.76
42  "Plastic (Polystyrene); thickness: 0.02 m." 44 137 154 2000 2.55 1 0.166 3.76 11.76
42  "Plastic (Polystyrene); thickness: 0.02 m." 44 137 154 5000 2.55 1 0.414 8.66 11.76
43  "Plastic (Polystyrene); thickness: 0.05 m." 44 137 154 900 2.55 1 0.075 4.17 11.76
43  "Plastic (Polystyrene); thickness: 0.05 m." 44 137 154 1800 2.55 1 0.149 7.84 11.76
43  "Plastic (Polystyrene); thickness: 0.05 m." 44 137 154 2000 2.55 1 0.166 8.66 11.76
43  "Plastic (Polystyrene); thickness: 0.05 m." 44 137 154 5000 2.55 1 0.414 20.92 11.76
44  "Plastic (Rubber); thickness: 0.02 m." 44 137 154 900 2.69 1 0.005 0.62 12.3
44  "Plastic (Rubber); thickness: 0.02 m." 44 137 154 1800 2.69 1 0.009 0.71 12.3
44  "Plastic (Rubber); thickness: 0.02 m." 44 137 154 2000 2.69 1 0.01 0.73 12.3
44  "Plastic (Rubber); thickness: 0.02 m." 44 137 154 5000 2.69 1 0.025 1.03 12.3
45  "Plastic (Rubber); thickness: 0.05 m." 44 137 154 900 2.69 1 0.005 0.75 12.3
45  "Plastic (Rubber); thickness: 0.05 m." 44 137 154 1800 2.69 1 0.009 0.98 12.3
45  "Plastic (Rubber); thickness: 0.05 m." 44 137 154 2000 2.69 1 0.01 1.03 12.3
45  "Plastic (Rubber); thickness: 0.05 m." 44 137 154 5000 2.69 1 0.025 1.77 12.3
46  "Plastic (Silicone Rubber); thickness: 0.02 m." 44 137 154 900 8.67 1 0.013 2.56 6.14
46  "Plastic (Silicone Rubber); thickness: 0.02 m." 44 137 154 1800 8.67 1 0.026 2.71 6.14
46  "Plastic (Silicone Rubber); thickness: 0.02 m." 44 137 154 2000 8.67 1 0.029 2.74 6.14
46  "Plastic (Silicone Rubber); thickness: 0.02 m." 44 137 154 5000 8.67 1 0.072 3.22 6.14
47  "Plastic (Silicone Rubber); thickness: 0.05 m." 44 137 154 900 8.67 1 0.013 2.78 6.14
47  "Plastic (Silicone Rubber); thickness: 0.05 m." 44 137 154 1800 8.67 1 0.026 3.14 6.14
47  "Plastic (Silicone Rubber); thickness: 0.05 m." 44 137 154 2000 8.67 1 0.029 3.22 6.14
47  "Plastic (Silicone Rubber); thickness: 0.05 m." 44 137 154 5000 8.67 1 0.072 4.43 6.14
48  "Plastic (Teflon); thickness: 0.02 m." 44 137 154 900 2.1 1 0.001 0.3 14.73
48  "Plastic (Teflon); thickness: 0.02 m." 44 137 154 1800 2.1 1 0.001 0.3 14.73
48  "Plastic (Teflon); thickness: 0.02 m." 44 137 154 2000 2.1 1 0.001 0.3 14.73
48  "Plastic (Teflon); thickness: 0.02 m." 44 137 154 5000 2.1 1 0 0.3 14.73
49  "Plastic (Teflon); thickness: 0.05 m." 44 137 154 900 2.1 1 0.001 0.3 14.73
49  "Plastic (Teflon); thickness: 0.05 m." 44 137 154 1800 2.1 1 0.001 0.3 14.73
49  "Plastic (Teflon); thickness: 0.05 m." 44 137 154 2000 2.1 1 0.001 0.3 14.73
49  "Plastic (Teflon); thickness: 0.05 m." 44 137 154 5000 2.1 1 0 0.3 14.73
50  "Potter큦 clay; thickness: 0.1 m." 166 166 166 900 2.45 1 0.007 1.16 13.13
50  "Potter큦 clay; thickness: 0.1 m." 166 166 166 2000 2.45 1 0.016 2.06 13.13
50  "Potter큦 clay; thickness: 0.1 m." 166 166 166 5000 2.45 1 0.039 4.5 13.13
51  "Potter큦 clay; thickness: 0.2 m." 166 166 166 900 2.45 1 0.007 1.9 13.13
51  "Potter큦 clay; thickness: 0.2 m." 166 166 166 2000 2.45 1 0.016 3.69 13.13
51  "Potter큦 clay; thickness: 0.2 m." 166 166 166 5000 2.45 1 0.039 8.57 13.13
52  "Sand; thickness: 0.1 m." 181 176 91 900 2.58 1 0.002 0.69 12.67
52  "Sand; thickness: 0.1 m." 181 176 91 1800 2.58 1 0.004 0.89 12.67
52  "Sand; thickness: 0.1 m." 181 176 91 2000 2.58 1 0.004 0.94 12.67
52  "Sand; thickness: 0.1 m." 181 176 91 5000 2.58 1 0.011 1.62 12.67
53  "Sand; thickness: 0.2 m." 181 176 91 900 2.58 1 0.002 0.89 12.67
